,index,est,value,beta,se,bias,variance
784,61,SNIPS,-0.7572944237865388,-1.0,20.313568753140398,13.582144156112667,0.6751277771239954
785,61,BIPW,-2.6142393443431042,-1.0,40.50052884896756,34.37283758504899,0.2511686579083186
786,62,IPS,-0.029409847733333667,-1.0,14.28214920058767,6.3310531230298315,1.5952060779602235
787,62,SNIPS,-0.5973131629143473,-1.0,18.89707322233829,13.582144156112667,0.43782086491458544
788,62,BIPW,-2.379649728396732,-1.0,37.56970329423439,34.37283758504899,0.0710636591455236
789,63,IPS,-0.5689349201857032,-1.0,18.651153768553616,6.3310531230298315,3.249149553554728
790,63,SNIPS,-0.3884182978701331,-1.0,17.124546411395357,13.582144156112667,0.2050146812480307
791,63,BIPW,-1.8324302245357331,-1.0,31.160883836421206,34.37283758504899,0.07875983364602612
792,64,IPS,2.761358698308555,-1.0,0.9769435311158701,6.3310531230298315,2.3340318799660857
793,64,SNIPS,4.647525958110548,-1.0,0.8059779043150079,13.582144156112667,21.0053444635355
794,64,BIPW,-2.1267660756342557,-1.0,34.53359675636376,34.37283758504899,0.00018752636509892349
795,65,IPS,-0.02615039620076457,-1.0,14.257523761609473,6.3310531230298315,1.5869832317259056
796,65,SNIPS,-0.5301681803219873,-1.0,18.317812932693048,13.582144156112667,0.3534722845336602
797,65,BIPW,-2.6343095077496868,-1.0,40.756384803861565,34.37283758504899,0.27168848839009896
798,66,IPS,-0.09271907480223504,-1.0,14.764670312664448,6.3310531230298315,1.7591351023299788
799,66,SNIPS,-1.747210185276515,-1.0,30.216716799708657,13.582144156112667,3.2818125194865564
800,66,BIPW,-2.4725355499170387,-1.0,38.717002187437046,34.37283758504899,0.12921400848206355
801,67,IPS,-0.5044495433799034,-1.0,18.098326376486728,6.3310531230298315,3.020833007288788
802,67,SNIPS,-0.8614593065838099,-1.0,21.263373341836978,13.582144156112667,0.8571546674705641
803,67,BIPW,-1.3255579108547,-1.0,25.75888474877775,34.37283758504899,0.6201785177994824
804,68,IPS,3.7576190842482515,-1.0,6.171434385621583e-05,6.3310531230298315,6.370647952070442
805,68,SNIPS,6.407461301858874,-1.0,7.063359006616535,13.582144156112667,40.23484314693925
806,68,BIPW,-1.327447243439803,-1.0,25.77806625760248,34.37283758504899,0.6172063351321952
807,69,IPS,0.05892193979894453,-1.0,13.622309477428052,6.3310531230298315,1.3798798941962769
808,69,SNIPS,0.1677828642927878,-1.0,12.830583386872014,13.582144156112667,0.01069480552145395
809,69,BIPW,-1.632453229296605,-1.0,28.968254084683526,34.37283758504899,0.23099444986574685
810,70,IPS,0.008499703952641574,-1.0,13.997052819962782,6.3310531230298315,1.5008825716041618
811,70,SNIPS,0.17423563763361968,-1.0,12.78439761024949,13.582144156112667,0.012071079856548044
812,70,BIPW,-2.7793760389893953,-1.0,42.6296596787278,34.37283758504899,0.44396100705823394
813,71,IPS,-0.013199760098960277,-1.0,14.159890513767037,6.3310531230298315,1.554521687659244
814,71,SNIPS,-0.27427813117234373,-1.0,16.192908928731903,13.582144156112667,0.114680641003569
815,71,BIPW,-2.963420577336687,-1.0,45.0668369183482,34.37283758504899,0.7230926196219664
